"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
557,442,184,133,69,59,171,119,163,689,475,320,302,536,493,288,409,667,365,504,605,297,280,621,311,559,321,235,717
764,521,215,197,104,75,204,157,183,694,426,332,346,608,480,299,329,691,387,358,604,259,295,640,339,574,355,277,719
646,500,189,143,75,59,185,122,172,662,430,284,387,545,522,301,376,710,512,301,644,265,307,675,367,596,336,232,724
464,332,205,145,81,57,209,115,185,611,459,310,653,591,448,509,322,712,427,576,622,288,301,626,383,554,337,271,725
571,449,186,149,91,72,185,127,171,674,495,322,308,550,491,283,628,682,353,334,590,270,309,671,317,542,294,227,734
449,373,176,98,48,39,183,85,168,572,472,389,594,541,342,358,456,647,414,282,603,255,291,621,317,508,291,314,736
471,401,172,109,65,57,169,97,165,446,443,271,374,493,438,297,366,695,355,281,637,260,335,531,311,460,305,247,742
534,442,177,144,87,70,181,124,170,652,440,350,334,574,445,287,327,646,433,334,635,277,290,616,340,524,421,269,743
503,411,179,111,59,48,180,95,169,628,524,294,560,573,459,394,637,700,360,313,665,237,696,530,347,369,310,259,747
500,411,178,89,51,40,187,74,177,602,542,316,648,518,473,294,311,648,374,307,670,294,282,599,384,525,315,250,747
417,351,174,94,55,47,171,84,163,588,566,242,433,407,479,327,354,629,320,296,679,570,810,245,347,299,283,248,763
555,430,189,154,73,55,195,127,176,632,495,308,645,576,424,427,313,663,369,279,655,271,313,626,376,558,371,246,770
488,408,175,117,68,56,177,103,167,642,394,362,468,501,483,342,282,659,307,305,662,465,597,256,355,415,254,250,777
530,418,186,110,60,46,192,92,175,635,424,341,456,561,359,327,467,710,407,342,577,269,298,666,384,519,245,285,785
542,443,179,130,79,64,181,113,169,645,443,328,331,625,449,288,333,680,458,566,584,287,286,611,320,516,366,251,786
549,447,180,125,72,58,180,109,169,703,450,301,485,539,493,320,304,622,384,509,612,285,280,653,376,553,289,283,797
642,504,187,132,76,57,195,110,175,646,485,247,195,578,568,281,420,609,301,321,707,612,823,501,324,374,338,225,800
370,316,171,52,27,23,174,46,165,438,531,275,498,402,452,267,306,597,295,304,676,278,304,595,352,392,285,228,813
517,414,183,104,60,46,193,87,174,595,476,268,352,518,530,252,303,655,340,340,705,335,664,653,344,319,271,182,814
310,253,180,73,37,30,177,63,167,569,589,347,587,441,496,281,305,559,335,295,686,238,300,556,395,425,321,262,832
455,363,184,112,56,44,187,96,171,554,512,204,543,568,513,334,302,677,304,307,741,570,786,327,363,380,308,183,844
634,482,192,145,83,66,185,121,174,615,410,283,318,528,464,314,346,716,410,310,592,307,281,596,344,516,349,242,919
620,488,186,163,88,67,194,139,172,656,485,272,340,572,477,261,301,645,383,500,595,263,289,608,323,484,336,217,927
457,385,174,144,78,65,175,128,165,619,461,282,259,449,493,291,302,705,406,559,608,269,287,504,343,438,269,253,941
507,434,171,85,46,38,176,76,165,626,524,297,621,563,439,292,294,650,337,634,632,284,272,628,359,517,339,247,949
